paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,failed,,,,,,,10598,11011,21609,0.0141897,120.911831,,ValueError,DeepSeek returned invalid JSON content
1_2,succeeded,1.0,1.0,1.0,0.8892,0,0,34141,4127,38268,0.01844182,46.886498,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/1/1_2.json,,
1_3,succeeded,0.8661,0.9821,0.7746,0.8804,1,16,54257,7823,62080,0.0304078,69.032129,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/1/1_3.json,,
1_4,succeeded,1.0,1.0,1.0,0.9692,0,0,45008,9666,54674,0.0279879,80.073623,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/1/1_4.json,,
1_5,succeeded,1.0,1.0,1.0,0.9079,0,0,46850,4183,51033,0.02401896,39.038509,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/1/1_5.json,,
1_6,succeeded,1.0,1.0,1.0,0.9094,0,0,47902,7058,54960,0.02697783,128.366968,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/1/1_6.json,,
