paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
4_1,failed,,,,,,,0,0,0,,0.0,,ValueError,"Model output failed v2 validation after 2 attempts: Claim C9 references results outside its StudyUnit: ['R5', 'R6']"
4_2,failed,0.44,0.3793,0.5238,0.9242,18,10,41566,7429,48995,0.02454443,70.076415,,ValueError,semantic F1 0.4400 is below 0.6000
4_3,succeeded,1.0,1.0,1.0,0.9409,0,0,47674,7153,54827,0.0269613,68.752694,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/4/4_3.json,,
4_4,succeeded,1.0,1.0,1.0,0.9568,0,0,45279,7022,52301,0.0258055,80.96913,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/4/4_4.json,,
4_5,failed,,,,,,,10917,5116,16033,0.00919982,52.244619,,ValueError,DeepSeek returned invalid JSON content
4_6,succeeded,0.8679,0.92,0.8214,0.8849,4,10,61119,11224,72343,0.03635164,110.075749,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/4/4_6.json,,
