horizon,group,paper_id,attempt,max_chunks,validation_retries,exit_code,merged,error,started_at,completed_at,report_folder,log_file
long,7,7_25,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:55:26.014993+00:00,2026-07-22T18:56:51.818654+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/7/7_25/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/7/7_25/attempt_1.log
long,7,7_25,2,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T19:06:38.802873+00:00,2026-07-22T19:08:14.383648+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/7/7_25/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/7/7_25/attempt_2.log
long,7,7_25,3,8,3,0,True,,2026-07-22T19:13:35.778865+00:00,2026-07-22T19:14:36.939636+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/7/7_25/attempt_3,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/7/7_25/attempt_3.log
long,7,7_26,1,8,3,0,True,,2026-07-22T18:55:39.620696+00:00,2026-07-22T18:56:37.207810+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/long/7/7_26/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/long/7/7_26/attempt_1.log
short,2,2_1,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:55:58.983135+00:00,2026-07-22T18:59:03.811776+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/2/2_1/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/2/2_1/attempt_1.log
short,2,2_1,2,8,3,0,True,,2026-07-22T19:06:38.792217+00:00,2026-07-22T19:08:33.860428+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/2/2_1/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/2/2_1/attempt_2.log
short,4,4_1,1,8,3,0,True,,2026-07-22T18:56:06.351182+00:00,2026-07-22T18:57:10.739355+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/4/4_1/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/4/4_1/attempt_1.log
short,4,4_2,1,8,3,0,True,,2026-07-22T18:56:37.215368+00:00,2026-07-22T18:58:37.933600+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/4/4_2/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/4/4_2/attempt_1.log
short,4,4_5,1,8,3,0,True,,2026-07-22T18:56:49.080465+00:00,2026-07-22T19:00:45.601828+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/4/4_5/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/4/4_5/attempt_1.log
short,7,7_3,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:56:51.827847+00:00,2026-07-22T19:05:58.269896+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/7/7_3/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/7/7_3/attempt_1.log
short,7,7_3,2,8,3,0,True,,2026-07-22T19:08:03.636461+00:00,2026-07-22T19:10:24.961262+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/7/7_3/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/7/7_3/attempt_2.log
short,7,7_4,1,8,3,0,True,,2026-07-22T18:57:03.589254+00:00,2026-07-22T18:59:10.283235+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/7/7_4/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/7/7_4/attempt_1.log
