horizon,group,paper_id,source_pdf,source_sha256,output_json,output_sha256,schema_version,packet_status,quality_score,precision,recall,source_chunks,selected_chunks,delivery_phase,recovery_attempt,model,report_record
long,2,2_13,data/formal_corpus/long/2/2_13.pdf,21fa1aefb7a0c82f3b171d24214fe03559a83102f393b3e76595dc749243f3e1,data/formal_outputs/2_2_version_228/long/2/2_13.json,842b025a014cf55b957a1d31c794e490e046f5d17d0f96cd877b0d34b3855617,2.2,accepted,1.0,1.0,1.0,16,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_14,data/formal_corpus/long/2/2_14.pdf,81cea24d5d75b6b183ea83e15c5c5100af409a06f3366ea63b85ef9d63a44787,data/formal_outputs/2_2_version_228/long/2/2_14.json,99c68692956ebf8042ccf2e8312463ae7ebc67624c80a05450d628e319e134b4,2.2,accepted,1.0,1.0,1.0,20,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_15,data/formal_corpus/long/2/2_15.pdf,16782fe29444e20d6eaba800069db8a9cd71f4cd7f841aec81529b8384d50eb4,data/formal_outputs/2_2_version_228/long/2/2_15.json,9660771825db16503dcad4be65dcd28ef12832759b257371dd82376a28ed2f16,2.2,accepted,1.0,1.0,1.0,16,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_16,data/formal_corpus/long/2/2_16.pdf,67e3db29623f18d5bb694e311266a27495c4e8b90438c84d572d33d0ec05954a,data/formal_outputs/2_2_version_228/long/2/2_16.json,6af24cf2f63998225ea3587920a176a061c9b0dfea5fa8305dd65b3f9a0266ec,2.2,accepted,1.0,1.0,1.0,24,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_17,data/formal_corpus/long/2/2_17.pdf,5c484aa8607f8370837f95b71c4dc2cb8144f7251a007b2aac56f7b76b23eaf6,data/formal_outputs/2_2_version_228/long/2/2_17.json,e6e888a3eabae03e97994e5c986bdb1d0ff7f79bb191071d129ac7b598b7c0c4,2.2,accepted,1.0,1.0,1.0,48,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_18,data/formal_corpus/long/2/2_18.pdf,f76c32d56dc01dceb1e576284eeae540fcbb1da0472eb7296ff95519e130a204,data/formal_outputs/2_2_version_228/long/2/2_18.json,18ee7df77af2962fc405d9d96adfb9f92c561037db981ecaf71f29d86463828a,2.2,accepted,1.0,1.0,1.0,33,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,2,2_19,data/formal_corpus/long/2/2_19.pdf,838fe0c26bfbe58e56f1b5199eadfff8874342570d97e1d6cac63396a79186d5,data/formal_outputs/2_2_version_228/long/2/2_19.json,d1759c2d368f163dfc828c7b2f09d1d3b6e4f8f9249f31b2ef96754a43ba049f,2.2,accepted,1.0,1.0,1.0,15,8,recovery,1,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/recovery/long/2/2_19/attempt_1/papers.jsonl
long,2,2_20,data/formal_corpus/long/2/2_20.pdf,a9751929c9c6b52fb3f2a85676871c7e9c81c676cdd12e08a78a14332e4f09d0,data/formal_outputs/2_2_version_228/long/2/2_20.json,edaf7fdac8486497f667299b503000700696da5f016bb4c2c74c7b28fcc2a85b,2.2,accepted,1.0,1.0,1.0,18,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/2/papers.jsonl
long,3,3_1,data/formal_corpus/long/3/3_1.pdf,1ea250895f1c34cf87596deafd09412431b7e189399d3d861cdafa5aa6374bea,data/formal_outputs/2_2_version_228/long/3/3_1.json,624ac9d136d4102ba0342feb552688c51f7117805a710b78e3fbb140c7e50910,2.2,accepted,1.0,1.0,1.0,19,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_2,data/formal_corpus/long/3/3_2.pdf,d8d50df0b25ccfeb06a5d7317da5c5881f97e94e510c8ec9e5222baf9074ad4a,data/formal_outputs/2_2_version_228/long/3/3_2.json,1444c6f4fe9f56251fc12f99cb6aa0cea315768e79336dfe933706931a51a78a,2.2,accepted,1.0,1.0,1.0,20,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_3,data/formal_corpus/long/3/3_3.pdf,42813ecb1ef5a3b81d71c796933767590df7b3753174614a9ec00695f7049fbb,data/formal_outputs/2_2_version_228/long/3/3_3.json,e157fd1d07bed25e10be96373e79e3f46e6d5a82ee235cec6fb3d095ad42f704,2.2,accepted,1.0,1.0,1.0,7,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_4,data/formal_corpus/long/3/3_4.pdf,222970eda2f06aa5f07d685a812a850d064cc5294ea28ded0e5dc5d4d065263c,data/formal_outputs/2_2_version_228/long/3/3_4.json,5b614f8858b83837deea39e48a17c92e1264bf8a193a1b599223c136cad07e16,2.2,accepted,1.0,1.0,1.0,13,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_5,data/formal_corpus/long/3/3_5.pdf,d61d16c07fa7bbb9043694d535ff2cea709d629199974a06e734282ce3c5147d,data/formal_outputs/2_2_version_228/long/3/3_5.json,5405f14e226dd3b161da0dc9a130eccd0dfbc51ec12b161f54a441e48b31f107,2.2,accepted,1.0,1.0,1.0,16,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_6,data/formal_corpus/long/3/3_6.pdf,135b9b64c4ba20e84d39b0c1e90bd130c24baf39700631dda62207ec8b54e631,data/formal_outputs/2_2_version_228/long/3/3_6.json,5e60914f18f14f16234ee3ce0d19b414a75ed62cefb6ce0eb02ac0d45b086c2c,2.2,accepted,0.9423,0.98,0.9074,12,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_7,data/formal_corpus/long/3/3_7.pdf,645a3a428b08cdb3f8d5bb99481937ad610371f30759b0b524a36cb0b2dbf99b,data/formal_outputs/2_2_version_228/long/3/3_7.json,f63d3e552f9dfe0e4f2d24760358f82ae8f2e58e2ff479b73a9ff9ce0aedf58c,2.2,accepted,1.0,1.0,1.0,10,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_8,data/formal_corpus/long/3/3_8.pdf,429a35117c85ed4a84ea88b3b1b83da8d5a778e23ff882aa5a00d2208a5d452e,data/formal_outputs/2_2_version_228/long/3/3_8.json,b768979dbd2cb2bae202b00d2026313f04f88c9ee81539c384afb0d5b8d88e9e,2.2,accepted,1.0,1.0,1.0,19,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_9,data/formal_corpus/long/3/3_9.pdf,33fe4a4c3282f9c5a4b8c24d3afb0ab1a62104788d5f268097c888f4d20fad6f,data/formal_outputs/2_2_version_228/long/3/3_9.json,ba908de859570f1e2f67b3cd7f9a443f9ad7daf8f8a28e890ad98aeea3c3c547,2.2,accepted,1.0,1.0,1.0,17,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_10,data/formal_corpus/long/3/3_10.pdf,d5bd25ebbf5be1ca57232f4b15d2a71d425df5bf7e1588fd7cb677981d193114,data/formal_outputs/2_2_version_228/long/3/3_10.json,9df35aab0b3ef291fa55af1761b71abdf6d8519c2f0124dc15f2fbe367811707,2.2,accepted,1.0,1.0,1.0,17,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_11,data/formal_corpus/long/3/3_11.pdf,eb80e9ffa39313f8aebb578e2132bfbe85fa86ce10ea437e6ca8a6220d8588b3,data/formal_outputs/2_2_version_228/long/3/3_11.json,3964a4d337b0b77e8a46c292dfb8377e35c7d0cc66f5475efb12ea2ab6c55874,2.2,accepted,1.0,1.0,1.0,10,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_12,data/formal_corpus/long/3/3_12.pdf,9c319b42814dc0d5c90d01393840b2097b14508f2c729281cb7945fabcfecd7f,data/formal_outputs/2_2_version_228/long/3/3_12.json,71e7e673570d6d0dc566d2a4db9eb623b5f58447a983ef9e874748c5bebb1c65,2.2,accepted,1.0,1.0,1.0,37,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_13,data/formal_corpus/long/3/3_13.pdf,9994ad96e974072ff200b9f9b44d0a98b4eadc98fc227b4d0e93542a6fe15967,data/formal_outputs/2_2_version_228/long/3/3_13.json,837a35002c8cb27e599fbefffdd4d1e25299277a2f75bda6c939d5ecf069c278,2.2,accepted,1.0,1.0,1.0,14,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_14,data/formal_corpus/long/3/3_14.pdf,0a37d9be71fea23c26023041e826741cab8399e2e6ea5300ecdacc24530f04ec,data/formal_outputs/2_2_version_228/long/3/3_14.json,365ac020cc36e38de82ac7c6e28ed106f822e5fff271845b27b699cae26c1833,2.2,accepted,1.0,1.0,1.0,6,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_15,data/formal_corpus/long/3/3_15.pdf,e85f894f073555b6950a70afb397c3738f372c9413403dfc9f90e47a18ad11ac,data/formal_outputs/2_2_version_228/long/3/3_15.json,91d15cdcef322a56385ee872dd12d68f476bcd041e6a5350c3301595566a39de,2.2,accepted,1.0,1.0,1.0,15,8,recovery,1,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/recovery/long/3/3_15/attempt_1/papers.jsonl
long,3,3_16,data/formal_corpus/long/3/3_16.pdf,75f3c0c8e565d3925a09803bf849776271192a4cfc4cea594f80459b33f4e245,data/formal_outputs/2_2_version_228/long/3/3_16.json,2ca71055f7f0ba4ac942acf73746aa2ffadd6dfa1da1e32dd4e7450b2099e613,2.2,accepted,1.0,1.0,1.0,8,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_17,data/formal_corpus/long/3/3_17.pdf,67382534488984207dff9edf604e59f4bbd9683adb33d6d3bdfe74ee7fd10b3d,data/formal_outputs/2_2_version_228/long/3/3_17.json,525d69e59bb65339323d7dc289c72daec2b1741b992fdeeaaa2f85c8274a3fee,2.2,accepted,0.9167,0.9565,0.88,15,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_18,data/formal_corpus/long/3/3_18.pdf,6558de564a425f10f4a93ccc100bbdb781cb5e0ad8069b3f71aede029a1080e1,data/formal_outputs/2_2_version_228/long/3/3_18.json,d27d2f065f2db0438e0db3bb7e034f93ad8d7794c4f2083d99639b27845f7ece,2.2,accepted,1.0,1.0,1.0,16,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_19,data/formal_corpus/long/3/3_19.pdf,3e84a7241eb512a7ebb019e0764906a97d82dfab87cb43ba2e06a241e362b7b3,data/formal_outputs/2_2_version_228/long/3/3_19.json,0f079a39566d5cc848b685649efe771a4ec505abc880a511e2c0eaee068ada19,2.2,accepted,1.0,1.0,1.0,29,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/3/papers.jsonl
long,3,3_20,data/formal_corpus/long/3/3_20.pdf,df3f203bc30c053f99739eb1e5a8038194d44973f204358013acf14eb42407d6,data/formal_outputs/2_2_version_228/long/3/3_20.json,0db9bca8ff58270167fee56d62057902afbcd219f1134426bfd88a512b57470c,2.2,accepted,1.0,1.0,1.0,14,8,recovery,1,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/recovery/long/3/3_20/attempt_1/papers.jsonl
long,4,4_1,data/formal_corpus/long/4/4_1.pdf,ed0341503dad2bcc7fdc99bc1bb195d732a3957883d91cdb946e51347607fa9a,data/formal_outputs/2_2_version_228/long/4/4_1.json,12fa96bb10cec1f277b0b015db33cb84dc1180cff8bd8bd154dcc78315e2e782,2.2,accepted,1.0,1.0,1.0,68,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_2,data/formal_corpus/long/4/4_2.pdf,708cefedfbc26742547dd9652a5cc503cd6ed522f08b0743f97d9f5b0b0145d3,data/formal_outputs/2_2_version_228/long/4/4_2.json,8ba0c8a214f55000e7b40e10da6f0b5e559bca0fd6db90a182062797f6dc17aa,2.2,accepted,1.0,1.0,1.0,4,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_3,data/formal_corpus/long/4/4_3.pdf,0f6bf1991a615150953ba2825bed36a0c3e5fb365db41d0650743fc029c65f7a,data/formal_outputs/2_2_version_228/long/4/4_3.json,450638d05eb6a0ca8907da00bc59b59dc51ad317842e55f5d60942672dbc0e32,2.2,accepted,1.0,1.0,1.0,9,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_4,data/formal_corpus/long/4/4_4.pdf,289bb21b873a2c684e95b7777647dc6cfb09d48e2e731bc84bdd0543d246916c,data/formal_outputs/2_2_version_228/long/4/4_4.json,b77f09ac57bd919556126767efc3c91bcde9ca8ee4eb65e34a95a5b500f1809a,2.2,accepted,1.0,1.0,1.0,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_5,data/formal_corpus/long/4/4_5.pdf,ad7ceef14ada7382a81879a047aa30f992c5e1be08dee25607c0220212d0fef1,data/formal_outputs/2_2_version_228/long/4/4_5.json,7312387d86f66e3c2d4b136355814e66ca5b0ef3f7f377a92cd0515f07bee08b,2.2,accepted,1.0,1.0,1.0,10,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_6,data/formal_corpus/long/4/4_6.pdf,32e5ad2a36bddbee01b9de79612fc89e5d7cd3b732913eb503f65a8b78acfa20,data/formal_outputs/2_2_version_228/long/4/4_6.json,dd750289a82ec397862a009284e026745360c32309bfc7416d007223e91ff291,2.2,accepted,1.0,1.0,1.0,12,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
