paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
1_1,succeeded,1.0,1.0,1.0,0.9508,0,0,41363,8059,49422,,48.100263,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T182238Z/packets/1_1.json,,
1_2,failed,,,,,,,7999,2252,10251,,14.029827,,ValueError,missed core item excerpt is not present in its source chunk
1_3,failed,,,,,,,13162,4075,17237,,28.36846,,ValueError,missed core item excerpt is not present in its source chunk
1_4,succeeded,0.9901,1.0,0.9804,0.952,0,1,44227,9436,53663,,56.27776,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T182238Z/packets/1_4.json,,
1_5,failed,,,,,,,12158,3339,15497,,26.319658,,ValueError,missed core item excerpt is not present in its source chunk
1_6,failed,,,,,,,9981,4179,14160,,26.471558,,ValueError,missed core item excerpt is not present in its source chunk
2_1,failed,,,,,,,10712,2241,12953,,14.274808,,ValueError,missed core item excerpt is not present in its source chunk
2_2,failed,,,,,,,11709,3510,15219,,119.971427,,ValueError,missed core item excerpt is not present in its source chunk
2_3,failed,,,,,,,12379,2877,15256,,16.799662,,ValueError,missed core item excerpt is not present in its source chunk
2_4,failed,,,,,,,10069,3596,13665,,58.001512,,ValueError,missed core item excerpt is not present in its source chunk
2_5,succeeded,1.0,1.0,1.0,0.9417,0,0,34890,5499,40389,,32.722795,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T182238Z/packets/2_5.json,,
2_6,succeeded,1.0,1.0,1.0,0.8705,0,0,33764,4625,38389,,37.71564,/data/rchu/PaperPacket/project_storage/SciEngram/data/formal_outputs/2_2_version/run-20260719T182238Z/packets/2_6.json,,
