paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
2_1,failed,,,,,,,10743,6957,17700,0.01072579,64.858662,,ValueError,DeepSeek returned invalid JSON content
2_2,succeeded,1.0,1.0,1.0,0.9635,0,0,30602,4787,35389,0.01747656,48.528657,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/2/2_2.json,,
2_3,succeeded,0.8438,0.8438,0.8438,0.945,10,10,45742,10048,55790,0.02863953,133.117495,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/2/2_3.json,,
2_4,succeeded,1.0,1.0,1.0,0.95,0,0,54694,7710,62404,0.03049959,79.603215,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/2/2_4.json,,
2_5,succeeded,1.0,1.0,1.0,0.9657,0,0,40002,9921,49923,0.02603214,99.379453,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/2/2_5.json,,
2_6,succeeded,0.9351,0.973,0.9,0.9686,1,4,36417,6342,42759,0.02135894,57.144493,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/short/2/2_6.json,,
