paper_id,status,quality_score,precision,recall,deterministic_rule_score,incorrect_item_count,missed_core_item_count,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,total_latency_seconds,output_file,error_type,error_message
2_1,succeeded,1.0,1.0,1.0,0.9263,0,0,33341,4742,38083,0.01862888,53.957828,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_1.json,,
2_10,succeeded,1.0,1.0,1.0,0.8221,0,0,41778,3379,45157,0.02111316,34.337211,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_10.json,,
2_11,failed,,,,,,,10259,7046,17305,0.01059269,63.500425,,ValueError,DeepSeek returned invalid JSON content
2_12,succeeded,1.0,1.0,1.0,0.9155,0,0,50027,8027,58054,0.02874524,153.605716,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_12.json,,
2_13,succeeded,1.0,1.0,1.0,0.9471,0,0,48303,6397,54700,0.0265772,55.868212,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_13.json,,
2_14,succeeded,1.0,1.0,1.0,0.8914,0,0,36264,3725,39989,0.01901559,32.866425,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_14.json,,
2_15,succeeded,1.0,1.0,1.0,0.9311,0,0,40173,6757,46930,0.02335384,62.919495,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_15.json,,
2_16,succeeded,1.0,1.0,1.0,0.8469,0,0,48347,4446,52793,0.02489897,52.821967,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_16.json,,
2_17,succeeded,1.0,1.0,1.0,0.8542,0,0,60110,5938,66048,0.03131391,76.585943,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_17.json,,
2_18,succeeded,1.0,1.0,1.0,0.8478,0,0,55806,3992,59798,0.02774865,42.957146,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_18.json,,
2_19,failed,,,,,,,13713,6889,20602,0.01195859,82.098289,,ValueError,DeepSeek returned invalid JSON content
2_2,succeeded,1.0,1.0,1.0,0.9143,0,0,36873,3588,40461,0.01916132,36.105797,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_2.json,,
2_20,succeeded,1.0,1.0,1.0,0.9176,0,0,48676,6314,54990,0.02666724,65.844233,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_20.json,,
2_3,failed,,,,,,,11626,5297,16923,0.0096657,51.673316,,ValueError,DeepSeek returned invalid JSON content
2_4,succeeded,1.0,1.0,1.0,0.9465,0,0,24373,6337,30710,0.01611544,74.669369,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_4.json,,
2_5,succeeded,1.0,1.0,1.0,0.902,0,0,48607,5731,54338,0.02613001,56.094566,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_5.json,,
2_6,succeeded,1.0,1.0,1.0,0.9287,0,0,32847,5064,37911,0.01869412,50.271485,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_6.json,,
2_7,succeeded,1.0,1.0,1.0,0.9125,0,0,40100,3348,43448,0.02035626,36.499711,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_7.json,,
2_8,failed,,,,,,,10080,5647,15727,0.00929769,50.98991,,ValueError,DeepSeek returned invalid JSON content
2_9,succeeded,1.0,1.0,1.0,0.9009,0,0,38254,3773,42027,0.01992301,38.994646,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/long/2/2_9.json,,
